title,created_at,link,metadata
"YLUA Style A YLUA0078, YLUA0088, YLUA0095, YLUA0098, YLUA0108, YLUA0130, YLUA0148, YLUA0158 Air-Cooled Scroll Compressor Condensing Units",9999-12-31,/viewer/document/l370Ao1a_CD0P8RTz1mqbQ,"Business: Chillers,Brand: YORK,Category: Condensing Unit,Product: YLUA,Document Revision: 915,Document Type: Engineering Guide,Document Number: 150.73-EG1"
"HT Hermetic TurboPak Liquid Chiller 90 thru 640 ton, HT90, HT100, HT110, HT120, HT130, HT150, HT170, HT200, HT230, HT260, HT290, HT320, HT350, HT360, HT390, HT430, HT470, HT510, HT560, HT610, HT640",9999-12-31,/viewer/document/Mq0ShO_aEIIdTXs181P52A,"Business: Chillers,Brand: YORK,Category: Centrifugal,Product: HT,Document Revision: 372,Document Type: Operation Guide,Document Number: 160.42-OM1"
