product_name,product_brand,product_category,product_code,product_series,business,product_identifier
YCAJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAJ-YOR-XX-XX-Cs
YCAZ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,YCAZ-YOR-XX-XX-Cs
Not Specified,YORK,"Absorption, Centrifugal, Compressor, Condensing Unit, Reciprocating, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Chillers,XX-YOR-XX-XX-Cs
YB,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,YB-YOR-XX-XX-Cs
YG,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,YG-YOR-XX-XX-Cs
Round Damper,Johnson Controls,Control Damper,RCG,Not Specified,Building Automation and Controls,Round_Damper-Joh-RCG-XX-Bs
A-4000-108,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,A-4000-108-Joh-XX-XX-Bs
A-4000-114,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,A-4000-114-Joh-XX-XX-Bs
T-4000 Pneumatic Room Thermostat,Johnson Controls,"Accessory, Pneumatic Thermostat, Room Thermostat, Temperature and Humidity Controller, Thermostat Accessories","F-100-20, F-1000-321, F-1000-322, F-1000-332, F-1000-395, F-300-30, F-300-31, F-300-34, F-300-35, F-500-45, F-700-83, F-700-84, F-700-85, F-700-86, F-700-94, F-700-95, JC 5310, JC 5361, M-4002-600, R-3710-1005, R-3710-1007, R-3710-3205, R-3710-3207, S-7200-1, T-275-100, T-275-101, T-4000-108, T-4000-110, T-4000-111, T-4000-112, T-4000-1138, T-4000-114, T-4000-1144, T-4000-1145, T-4000-115, T-4000-116, T-4000-117, T-4000-119, T-4000-2138, T-4000-2139, T-4000-2140, T-4000-2141, T-4000-2142, T-4000-2144, T-4000-2145, T-4000-2146, T-4000-2151, T-4000-2639, T-4000-2640, T-4000-2642, T-4000-2644, T-4000-2645, T-4000-3139, T-4000-3139B, T-4000-3140, T-4000-3141, T-4000-3142, T-4000-3144, T-4000-3145, T-4000-603, T-4000-604, T-4000-605, T-4000-610, T-4000-611, T-4000-612, T-4000-6138, T-4000-6139, T-4000-6140, T-4000-6141, T-4000-6142, T-4000-6144, T-4000-6145, T-4000-6146, T-4000-6147, T-4000-615, T-4000-616, T-4000-622, T-4000-623, T-4000-627, T-4000-628, T-4000-629, T-4000-630, T-4000-9140, T-4000-9142, T-4002-100, T-4002-122, T-4002-123, T-4002-124, T-4002-125, T-4002-130, T-4002-201, T-4002-202, T-4002-203, T-4002-204, T-4002-2123, T-4002-2124, T-4002-2126, T-4002-2127, T-4002-2129, T-4002-2130, T-4002-2132, T-4002-2133, T-4002-2137, T-4002-3000, T-4002-3001, T-4002-3004, T-4002-301, T-4002-302, T-4002-303, T-4002-304, T-4002-5003, T-4002-5009, T-4002-5010, T-4002-5012, T-4002-5017, T-4002-5018, T-4002-600, T-4002-6029, T-4002-6038, T-4002-6045, T-4002-6049, T-4002-617, T-4002-619, T-4002-624, T-4002-625, T-4002-9008, T-4002-9009, T-4002-9012, T-4002-9014, T-4003-201, T-4003-203, T-4003-8008, T-4054-1, T-4054-2, T-4100-1, T-4100-100, T-4100-101, T-4100-102, T-4100-103, T-4100-2, T-4100-3, T-4100-4, T-4100-600, T-4110-1, T-4110-2, T-4110-3, T-4110-4, T-4502-1735, T-4502-1736, T-4506-100, T-4506-101, T-4506-102, T-4506-103, T-4506-2000, T-4506-2001, T-4506-2002, T-4506-2003, T-4506-2004, T-4506-201, T-4506-202, T-4506-203, T-4506-204, T-4506-209, T-4506-217, T-4506-600, T-4506-601, T-4506-602, T-4506-603, T-4506-604, T-4506-605, T-4506-606, T-4506-607, T-4506-9005, T-4506-9007, T-4506-9070, T-4512-100, T-4516-201, T-4516-202, T-4516-9003, T-4600-1, T-4600-2, T-4600-3, T-4600-5, T-4600-6, T-4752-201, T-4752-202, T-4752-205, T-4752-206, T-4752-619, T-4752-620, T-4756-1738, T-4756-1739, T-4756-201, T-4756-202, T-4756-205, T-4756-206, T-4756-2141, T-4756-2145, T-4756-6141, T-4756-6145, T-4756-6738, T-4756-6739, T-4756-9003, T-4756-9007, T-4756-9012, T-4756-9738, TE-1800-9600",Not Specified,Building Automation and Controls,T-4000_Pneumatic_Room_Thermostat-Joh-_TE-1800-9600-XX-Bs
Thermostat Hardware,Johnson Controls,"Pneumatic Thermostat, Room Thermostat, Thermostat Accessories","F-100-20, F-1000-171, F-1000-321, F-1000-322, F-1000-332, F-1000-395, F-300-30, F-300-31, F-300-34, F-300-35, F-500-45, F-700-83, F-700-84, F-700-85, F-700-86, F-700-94, F-700-95, JC 5310, JC 5361, R-3710-1005, R-3710-1007, R-3710-3205, R-3710-3207, T-275-100, T-275-101, T-4000-108, T-4000-110, T-4000-111, T-4000-112, T-4000-114, T-4000-115, T-4000-116, T-4000-117, T-4002-100, T-4002-122, T-4002-123, T-4002-124, T-4002-125, T-4002-3000, T-4002-3001, T-4002-3004, T-4002-5003, T-4002-5010, T-4002-5012, T-4002-5017, T-4002-5018, T-4002-6029, T-4002-6038, T-4002-6045, T-4100-100, T-4100-101, T-4100-102, T-4100-103, T-4506-100, T-4506-101, T-4506-102, T-4506-103, T-4512-100, T-752-1001, T-800-1611, T-800-1614, T-800-1615, T-800-1616, T-800-1617, TE-1800-9600",Not Specified,Building Automation and Controls,Thermostat_Hardware-Joh-_TE-1800-9600-XX-Bs
