product_name,product_brand,product_category,product_code,product_series,business,product_identifier
Remote Telephone Equipment,Simplex,Accessories,"2084-9001, 2084-9002, 2084-9003, 2084-9004, 2084-9005, 2084-9006, 2084-9007, 2084-9008, 2084-9009, 2084-9014, 2084-9017, 2084-9018, 2084-9020, 2084-9021, 2084-9022, 2084-9023, 2084-9024, 2099-9804, 2975-9053, 4081-9008, 579-226",Not Specified,Not Specified,Remote_Telephone_Equipment-Sim-_579-226-XX-Nd
sIOC300,CEM Systems,Hardware,Not Specified,Not Specified,Access Control,sIOC300-CEM-XX-XX-Al
VHCV,Johnson Controls,Manual Valve,Not Specified,Not Specified,Building Automation and Controls APAC,VHCV-Joh-XX-XX-BC
VHSV,Johnson Controls,Manual Valve,Not Specified,Not Specified,Building Automation and Controls APAC,VHSV-Joh-XX-XX-BC
System Battery,Simplex,Accessories,"2081-281, 2081-9271, 2081-9272, 2081-9274, 2081-9275, 2081-9276, 2081-9279, 2081-9280, 2081-9282, 2081-9287, 2081-9288, 2081-9296, 2081-9297, 2081-9298, 2081-9401, 2081-9402, 2081-9403, 4003-9860, 4005-9860, 4009-9801, 4009-9802, 4081-9301, 4081-9302, 4081-9306, 4081-9308, 4100-0104, 4100-0114, 4100-0124, 4100-0650, 4100-5111, 4100-5112, 4100-5113, 4100-5120, 4100-5121, 4100-5122, 4100-5125, 4100-5126, 4100-5127, 4100-5128, 4100-5311, 4100-5313, 4100-5325, 4100-5327, 4100-9837, 4100-9867, 5009-9724, 5009-9906, 574-670, 579-1213, 579-268, 579-944",Not Specified,Not Specified,System_Battery-Sim-_579-944-XX-Nd
Manual Station,Simplex,Sensors and Initiating Devices,"2099-9022, 2099-9101, 2099-9102, 2099-9103, 2099-9104, 2099-9107, 2099-9149, 2099-9152, 2099-9754, 2099-9755, 2099-9756, 2099-9757, 2099-9758, 2099-9762, 2099-9800, 2099-9803, 2099-9804, 2099-9813, 2099-9814, 2099-9819, 2099-9820, 2099-9822, 2099-9828, 2975-9022, 2975-9178, 4099-9015, 4099-9802, 4099-9805, 574-686, 579-1007, 579-1135",Not Specified,Not Specified,Manual_Station-Sim-_579-1135-XX-Nd
Non-Coded Manual Stations,Simplex,Notification Appliances and Speakers,"2099-9138, 2099-9139, 2099-9143, 2099-9144, 2099-9829, 2975-9211, 2975-9212",Not Specified,Not Specified,Non-Coded_Manual_Stations-Sim-_2975-9212-XX-Nd
Cast Metal Construction,Simplex,Notification Appliances and Speakers,"2099-9138, 2099-9139, 2099-9143, 2099-9144, 2099-9829, 2975-9211, 2975-9212",Not Specified,Not Specified,Cast_Metal_Construction-Sim-_2975-9212-XX-Nd
VHBV0000,Johnson Controls,Manual Valve,Not Specified,Not Specified,Building Automation and Controls APAC,VHBV0000-Joh-XX-XX-BC
VHGV,Johnson Controls,Manual Valve,Not Specified,Not Specified,Building Automation and Controls APAC,VHGV-Joh-XX-XX-BC
VGA Series,Johnson Controls,"Other Valves and Actuators, Pneumatic Actuator","VGA, VGA8A2GT+3008E, VGA8B2GT+3008E, VGA8C2GT+3008E, VGA8D2GT+3008E",Not Specified,Building Automation and Controls,VGA_Series-Joh-_VGA8D2GT+3008E-XX-Bs
VSD Series II Micro Drive,Johnson Controls,Motor Control,"VS011203B-M0000, VS011203D-M0000, VS011210B-00000, VS011210B-L0000, VS011210B-S0000, VS011220B-00000, VS011220B-L0000, VS011220B-S0000, VS012210B-00000, VS012210B-L0000, VS012210B-S0000, VS012220B-00000, VS012220B-L0000, VS012220B-S0000, VS012403B-M0000, VS012403B-MEM00, VS012403D-M0000, VS012403D-MEM00, VS012410B-00000, VS012410B-L0000, VS012410B-S0000, VS012420B-00000, VS012420B-L0000, VS012420B-S0000, VS014403B-M0000, VS014403B-MEM00, VS014403D-M0000, VS014403D-MEM00, VS016403B-M0000, VS016403B-MEM00, VS016403D-M0000, VS016403D-MEM00, VS016410B-00000, VS016410B-L0000, VS016410B-S0000, VS016420B-00000, VS016420B-L0000, VS016420B-S0000, VS017203B-M0000, VS017203B-MEM00, VS017203D-M0000, VS017203D-MEM00, VS018210B-00000, VS018210B-L0000, VS018210B-S0000, VS018220B-00000, VS018220B-L0000, VS018220B-S0000, VS023403B-M0000, VS023403B-MEM00, VS023403D-M0000, VS023403D-MEM00, VS023410B-00000, VS023410B-L0000, VS023410B-S0000, VS023420B-00000, VS023420B-L0000, VS023420B-S0000, VS024210B-00000, VS024210B-L0000, VS024210B-S0000, VS024220B-00000, VS024220B-L0000, VS024220B-S0000, VS025203B-M0000, VS025203B-MEM00, VS025203D-M0000, VS025203D-MEM00, VS031203B-M0000, VS031203B-MEM00, VS031203D-M0000, VS031203D-MEM00, VS031210B-00000, VS031210B-L0000, VS031210B-S0000, VS031220B-00000, VS031220B-L0000, VS031220B-S0000, VS031403B-M0000, VS031403B-MEM00, VS031403D-M0000, VS031403D-MEM00, VS031410B-00000, VS031410B-L0000, VS031410B-S0000, VS031420B-00000, VS031420B-L0000, VS031420B-S0000, VS038203B-M0000, VS038203B-MEM00, VS038203D-M0000, VS038203D-MEM00, VS038403B-M0000, VS038403B-MEM00, VS038403D-M0000, VS038403D-MEM00, VS038410B-00000, VS038410B-L0000, VS038410B-S0000, VS038420B-00000, VS038420B-L0000, VS038420B-S0000, VS046410B-00000, VS046410B-L0000, VS046410B-S0000, VS046420B-00000, VS046420B-L0000, VS046420B-S0000, VS048210B-00000, VS048210B-L0000, VS048210B-S0000, VS048220B-00000, VS048220B-L0000, VS048220B-S0000, VS061410B-00000, VS061410B-L0000, VS061410B-S0000, VS061420B-00000, VS061420B-L0000, VS061420B-S0000, VS062210B-00000, VS062210B-L0000, VS062210B-S0000, VS062220B-00000, VS062220B-L0000, VS062220B-S0000, VS072410B-00000, VS072410B-L0000, VS072410B-S0000, VS072420B-00000, VS072420B-L0000, VS072420B-S0000, VS075210B-00000, VS075210B-L0000, VS075210B-S0000, VS075220B-00000, VS075220B-L0000, VS075220B-S0000, VS087410B-00000, VS087410B-L0000, VS087410B-S0000, VS087420B-00000, VS087420B-L0000, VS087420B-S0000, VS088210B-00000, VS088210B-L0000, VS088210B-S0000, VS088220B-00000, VS088220B-L0000, VS088220B-S0000, VS105210B-00000, VS105210B-L0000, VS105210B-S0000, VS105220B-00000, VS105220B-L0000, VS105220B-S0000, VS105410B-00000, VS105410B-L0000, VS105410B-S0000, VS105420B-00000, VS105420B-L0000, VS105420B-S0000, VS140210B-00000, VS140210B-L0000, VS140210B-S0000, VS140220B-00000, VS140220B-L0000, VS140220B-S0000, VS140410B-00000, VS140410B-L0000, VS140410B-S0000, VS140420B-00000, VS140420B-L0000, VS140420B-S0000, VS170210B-00000, VS170210B-L0000, VS170210B-S0000, VS170220B-00000, VS170220B-L0000, VS170220B-S0000, VS170410B-00000, VS170410B-L0000, VS170410B-S0000, VS170420B-00000, VS170420B-L0000, VS170420B-S0000, VS1D3403B-M0000, VS1D3403B-MEM00, VS1D3403D-M0000, VS1D3403D-MEM00, VS1D7004B-M0000, VS1D7004D-M0000, VS1D7203B-M0000, VS1D7203D-M0000, VS1D7204B-M0000, VS1D7204B-MEM00, VS1D7204D-M0000, VS1D7204D-MEM00, VS1D7503B-M0000, VS1D7503D-M0000, VS1D9403B-M0000, VS1D9403B-MEM00, VS1D9403D-M0000, VS1D9403D-MEM00, VS205210B-00000, VS205210B-L0000, VS205210B-S0000, VS205220B-00000, VS205220B-L0000, VS205220B-S0000, VS205410B-00000, VS205410B-L0000, VS205410B-S0000, VS205420B-00000, VS205420B-L0000, VS205420B-S0000, VS261210B-00000, VS261210B-L0000, VS261210B-S0000, VS261220B-00000, VS261220B-L0000, VS261220B-S0000, VS261410B-00000, VS261410B-L0000, VS261410B-S0000, VS261420B-00000, VS261420B-L0000, VS261420B-S0000, VS2D4004B-M0000, VS2D4004D-M0000, VS2D4203B-M0000, VS2D4203D-M0000, VS2D4204B-M0000, VS2D4204B-MEM00, VS2D4204D-M0000, VS2D4204D-MEM00, VS2D4403B-M0000, VS2D4403B-MEM00, VS2D4403D-M0000, VS2D4403D-MEM00, VS2D7503B-M0000, VS2D7503D-M0000, VS2D8004B-M0000, VS2D8004D-M0000, VS2D8203B-M0000, VS2D8203D-M0000, VS2D8204B-M0000, VS2D8204B-MEM00, VS2D8204D-M0000, VS2D8204D-MEM00, VS310210B-00000, VS310210B-L0000, VS310210B-S0000, VS310220B-00000, VS310220B-L0000, VS310220B-S0000, VS310410B-00000, VS310410B-L0000, VS310410B-S0000, VS310420B-00000, VS310420B-L0000, VS310420B-S0000, VS3D3403B-M0000, VS3D3403B-MEM00, VS3D3403D-M0000, VS3D3403D-MEM00, VS3D4410B-00000, VS3D4410B-L0000, VS3D4410B-S0000, VS3D4420B-00000, VS3D4420B-L0000, VS3D4420B-S0000, VS3D7004B-M0000, VS3D7004D-M0000, VS3D7203B-M0000, VS3D7203D-M0000, VS3D7204B-M0000, VS3D7204B-MEM00, VS3D7204D-M0000, VS3D7204D-MEM00, VS3D7210B-00000, VS3D7210B-L0000, VS3D7210B-S0000, VS3D7220B-00000, VS3D7220B-L0000, VS3D7220B-S0000, VS3D9503B-M0000, VS3D9503D-M0000, VS4D3403B-M0000, VS4D3403B-MEM00, VS4D3403D-M0000, VS4D3403D-MEM00, VS4D8004B-M0000, VS4D8004D-M0000, VS4D8203B-M0000, VS4D8203D-M0000, VS4D8204B-M0000, VS4D8204B-MEM00, VS4D8204D-M0000, VS4D8204D-MEM00, VS4D8210B-00000, VS4D8210B-L0000, VS4D8210B-S0000, VS4D8220B-00000, VS4D8220B-L0000, VS4D8220B-S0000, VS4D8410B-00000, VS4D8410B-L0000, VS4D8410B-S0000, VS4D8420B-00000, VS4D8420B-L0000, VS4D8420B-S0000, VS5D6403B-M0000, VS5D6403B-MEM00, VS5D6403D-M0000, VS5D6403D-MEM00, VS5D6410B-00000, VS5D6410B-L0000, VS5D6410B-S0000, VS5D6420B-00000, VS5D6420B-L0000, VS5D6420B-S0000, VS6D1503B-M0000, VS6D1503D-M0000, VS6D6210B-00000, VS6D6210B-L0000, VS6D6210B-S0000, VS6D6220B-00000, VS6D6220B-L0000, VS6D6220B-S0000, VS7D0203B-M0000, VS7D0203D-M0000, VS7D0204B-M0000, VS7D0204B-MEM00, VS7D0204D-M0000, VS7D0204D-MEM00, VS7D6403B-M0000, VS7D6403B-MEM00, VS7D6403D-M0000, VS7D6403D-MEM00, VS8D0210B-00000, VS8D0210B-L0000, VS8D0210B-S0000, VS8D0220B-00000, VS8D0220B-L0000, VS8D0220B-S0000, VS8D0410B-00000, VS8D0410B-L0000, VS8D0410B-S0000, VS8D0420B-00000, VS8D0420B-L0000, VS8D0420B-S0000, VS9D0403B-M0000, VS9D0403B-MEM00, VS9D0403D-M0000, VS9D0403D-MEM00, VS9D0503B-M0000, VS9D0503D-M0000, VS9D6204B-M0000, VS9D6204B-MEM00, VS9D6204D-M0000, VS9D6204D-MEM00, VS9D6410B-00000, VS9D6410B-L0000, VS9D6410B-S0000, VS9D6420B-00000, VS9D6420B-L0000, VS9D6420B-S0000",Not Specified,Building Automation and Controls,VSD_Series_II_Micro_Drive-Joh-_VS9D6420B-S0000-XX-Bs
